danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.422,0.302,11,-9.214,1,0.0372,0.629,7.83e-05,0.104,0.123,114.089,audio_features,1v1oIWf2Xgh54kIWuKsDf6,spotify:track:1v1oIWf2Xgh54kIWuKsDf6,https://api.spotify.com/v1/tracks/1v1oIWf2Xgh54kIWuKsDf6,https://api.spotify.com/v1/audio-analysis/1v1oIWf2Xgh54kIWuKsDf6,248827,4
0.689,0.706,1,-4.48,0,0.0312,0.0833,0.0,0.105,0.623,106.52,audio_features,2sX7lJXsOYGP1Us6CqM9t1,spotify:track:2sX7lJXsOYGP1Us6CqM9t1,https://api.spotify.com/v1/tracks/2sX7lJXsOYGP1Us6CqM9t1,https://api.spotify.com/v1/audio-analysis/2sX7lJXsOYGP1Us6CqM9t1,226268,4
0.691,0.695,0,-5.6,1,0.0367,0.0592,0.0,0.0647,0.514,106.064,audio_features,2cc8Sw1OnCuA5bV8nqWqpE,spotify:track:2cc8Sw1OnCuA5bV8nqWqpE,https://api.spotify.com/v1/tracks/2cc8Sw1OnCuA5bV8nqWqpE,https://api.spotify.com/v1/audio-analysis/2cc8Sw1OnCuA5bV8nqWqpE,233386,4
0.715,0.622,4,-5.102,0,0.046,0.163,0.0,0.0948,0.808,80.015,audio_features,2rCbl9naJYhaxjLsfx88uM,spotify:track:2rCbl9naJYhaxjLsfx88uM,https://api.spotify.com/v1/tracks/2rCbl9naJYhaxjLsfx88uM,https://api.spotify.com/v1/audio-analysis/2rCbl9naJYhaxjLsfx88uM,195053,4
0.444,0.648,1,-4.955,1,0.0476,0.288,0.0,0.059,0.171,125.706,audio_features,5SFXOMJJ334Wn2PwBHeRZN,spotify:track:5SFXOMJJ334Wn2PwBHeRZN,https://api.spotify.com/v1/tracks/5SFXOMJJ334Wn2PwBHeRZN,https://api.spotify.com/v1/audio-analysis/5SFXOMJJ334Wn2PwBHeRZN,189000,5
0.616,0.576,11,-5.495,0,0.0532,0.0723,0.0,0.375,0.269,89.962,audio_features,15OCqNPYoLziEAsbVnqRj5,spotify:track:15OCqNPYoLziEAsbVnqRj5,https://api.spotify.com/v1/tracks/15OCqNPYoLziEAsbVnqRj5,https://api.spotify.com/v1/audio-analysis/15OCqNPYoLziEAsbVnqRj5,182121,4
0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,audio_features,0b18g3G5spr4ZCkz7Y6Q0Q,spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/tracks/0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/audio-analysis/0b18g3G5spr4ZCkz7Y6Q0Q,186210,4
0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,audio_features,6ft4hAq6yde8jPZY2i5zLr,spotify:track:6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/tracks/6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/audio-analysis/6ft4hAq6yde8jPZY2i5zLr,167903,4
0.476,0.594,5,-6.879,1,0.135,0.0599,0.0,0.0785,0.314,159.702,audio_features,6Tio0ZoDeSQnI7EBAqWer2,spotify:track:6Tio0ZoDeSQnI7EBAqWer2,https://api.spotify.com/v1/tracks/6Tio0ZoDeSQnI7EBAqWer2,https://api.spotify.com/v1/audio-analysis/6Tio0ZoDeSQnI7EBAqWer2,141050,4
0.615,0.422,5,-8.019,0,0.0504,0.604,0.0,0.112,0.185,135.859,audio_features,3krZxyBsWEHfEfJegYaWTd,spotify:track:3krZxyBsWEHfEfJegYaWTd,https://api.spotify.com/v1/tracks/3krZxyBsWEHfEfJegYaWTd,https://api.spotify.com/v1/audio-analysis/3krZxyBsWEHfEfJegYaWTd,214094,5
0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711,4
0.734,0.855,6,-4.578,0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,audio_features,2pPO9YecZimmuVQfIzfV6U,spotify:track:2pPO9YecZimmuVQfIzfV6U,https://api.spotify.com/v1/tracks/2pPO9YecZimmuVQfIzfV6U,https://api.spotify.com/v1/audio-analysis/2pPO9YecZimmuVQfIzfV6U,139563,4
0.727,0.546,0,-4.572,1,0.0437,0.656,0.0,0.122,0.69,106.891,audio_features,2MnLkFqY9Rpg9s3Zv6ZJdK,spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK,https://api.spotify.com/v1/tracks/2MnLkFqY9Rpg9s3Zv6ZJdK,https://api.spotify.com/v1/audio-analysis/2MnLkFqY9Rpg9s3Zv6ZJdK,197333,4
0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,audio_features,3tjFYV6RSFtuktYl3ZtYcq,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4
0.542,0.732,9,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,audio_features,7FdUvDkaE24o3FPIWTvzv2,spotify:track:7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/tracks/7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/audio-analysis/7FdUvDkaE24o3FPIWTvzv2,175644,4
0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,audio_features,7lPN2DXiMsVn7XUKtOW1CS,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,https://api.spotify.com/v1/tracks/7lPN2DXiMsVn7XUKtOW1CS,https://api.spotify.com/v1/audio-analysis/7lPN2DXiMsVn7XUKtOW1CS,242014,4
0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,audio_features,3YJJjQPAbDT7mGpX3WtQ9A,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/audio-analysis/3YJJjQPAbDT7mGpX3WtQ9A,279204,4
0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4
0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,audio_features,5Kskr9LcNYa0tpt5f0ZEJx,spotify:track:5Kskr9LcNYa0tpt5f0ZEJx,https://api.spotify.com/v1/tracks/5Kskr9LcNYa0tpt5f0ZEJx,https://api.spotify.com/v1/audio-analysis/5Kskr9LcNYa0tpt5f0ZEJx,205458,4
0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987,audio_features,6rTInqW3YECMkQsBEHw4sd,spotify:track:6rTInqW3YECMkQsBEHw4sd,https://api.spotify.com/v1/tracks/6rTInqW3YECMkQsBEHw4sd,https://api.spotify.com/v1/audio-analysis/6rTInqW3YECMkQsBEHw4sd,215693,4
0.664,0.655,10,-7.327,0,0.0461,0.059,2.4e-05,0.17,0.13,129.987,audio_features,6LcX2hBbXaJcK4AuefE936,spotify:track:6LcX2hBbXaJcK4AuefE936,https://api.spotify.com/v1/tracks/6LcX2hBbXaJcK4AuefE936,https://api.spotify.com/v1/audio-analysis/6LcX2hBbXaJcK4AuefE936,217609,4
0.584,0.859,8,-5.616,1,0.121,0.0144,0.0,0.847,0.369,77.005,audio_features,2BITQ360Knh6qNAOqR7Dyq,spotify:track:2BITQ360Knh6qNAOqR7Dyq,https://api.spotify.com/v1/tracks/2BITQ360Knh6qNAOqR7Dyq,https://api.spotify.com/v1/audio-analysis/2BITQ360Knh6qNAOqR7Dyq,236883,4
0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031,audio_features,1dg3qy5DjoJodawfOCgrTP,spotify:track:1dg3qy5DjoJodawfOCgrTP,https://api.spotify.com/v1/tracks/1dg3qy5DjoJodawfOCgrTP,https://api.spotify.com/v1/audio-analysis/1dg3qy5DjoJodawfOCgrTP,232048,4
0.785,0.658,1,-3.478,1,0.0826,0.108,0.0,0.448,0.119,99.039,audio_features,2gyYjQWXKxemhAyMPgctIx,spotify:track:2gyYjQWXKxemhAyMPgctIx,https://api.spotify.com/v1/tracks/2gyYjQWXKxemhAyMPgctIx,https://api.spotify.com/v1/audio-analysis/2gyYjQWXKxemhAyMPgctIx,131413,3
0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,audio_features,65OVbaJR5O1RmwOQx0875b,spotify:track:65OVbaJR5O1RmwOQx0875b,https://api.spotify.com/v1/tracks/65OVbaJR5O1RmwOQx0875b,https://api.spotify.com/v1/audio-analysis/65OVbaJR5O1RmwOQx0875b,192956,4
0.597,0.571,1,-6.205,0,0.293,0.492,0.0,0.093,0.165,106.196,audio_features,4TIqzdAssasqx3DAe6cG9J,spotify:track:4TIqzdAssasqx3DAe6cG9J,https://api.spotify.com/v1/tracks/4TIqzdAssasqx3DAe6cG9J,https://api.spotify.com/v1/audio-analysis/4TIqzdAssasqx3DAe6cG9J,218448,3
0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,audio_features,7JuHVG3qQKQKxC4doneXVW,spotify:track:7JuHVG3qQKQKxC4doneXVW,https://api.spotify.com/v1/tracks/7JuHVG3qQKQKxC4doneXVW,https://api.spotify.com/v1/audio-analysis/7JuHVG3qQKQKxC4doneXVW,184490,4
0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,audio_features,1EJIcDYXwSqipW5dFe4uJz,spotify:track:1EJIcDYXwSqipW5dFe4uJz,https://api.spotify.com/v1/tracks/1EJIcDYXwSqipW5dFe4uJz,https://api.spotify.com/v1/audio-analysis/1EJIcDYXwSqipW5dFe4uJz,236524,4
0.879,0.574,10,-5.602,0,0.391,0.519,8.76e-06,0.144,0.346,144.911,audio_features,03ERnTvSV5fy8WAyvA4uNP,spotify:track:03ERnTvSV5fy8WAyvA4uNP,https://api.spotify.com/v1/tracks/03ERnTvSV5fy8WAyvA4uNP,https://api.spotify.com/v1/audio-analysis/03ERnTvSV5fy8WAyvA4uNP,243463,4
0.925,0.859,1,-7.335,1,0.196,0.0347,1.86e-06,0.2,0.967,140.034,audio_features,0RlsFYqkOzlg4ZxVQs9YJA,spotify:track:0RlsFYqkOzlg4ZxVQs9YJA,https://api.spotify.com/v1/tracks/0RlsFYqkOzlg4ZxVQs9YJA,https://api.spotify.com/v1/audio-analysis/0RlsFYqkOzlg4ZxVQs9YJA,197387,4
0.831,0.727,8,-3.657,0,0.169,0.447,0.0,0.111,0.703,125.068,audio_features,3JVTsvTldB6arHVlmxmTnM,spotify:track:3JVTsvTldB6arHVlmxmTnM,https://api.spotify.com/v1/tracks/3JVTsvTldB6arHVlmxmTnM,https://api.spotify.com/v1/audio-analysis/3JVTsvTldB6arHVlmxmTnM,213080,4
0.938,0.355,1,-7.075,1,0.413,0.0258,0.0,0.118,0.511,134.096,audio_features,2Lr9sAuH6FJooeT0fY1yXB,spotify:track:2Lr9sAuH6FJooeT0fY1yXB,https://api.spotify.com/v1/tracks/2Lr9sAuH6FJooeT0fY1yXB,https://api.spotify.com/v1/audio-analysis/2Lr9sAuH6FJooeT0fY1yXB,154718,4
0.871,0.545,7,-10.489,1,0.189,0.0143,0.0,0.148,0.722,100.482,audio_features,4KIkADzoVm3A10E9qyjsQ5,spotify:track:4KIkADzoVm3A10E9qyjsQ5,https://api.spotify.com/v1/tracks/4KIkADzoVm3A10E9qyjsQ5,https://api.spotify.com/v1/audio-analysis/4KIkADzoVm3A10E9qyjsQ5,155720,4
0.809,0.638,1,-7.268,0,0.257,0.0758,0.0,0.15,0.392,117.982,audio_features,6cQ08IpBxxfGcSKxqE3NmB,spotify:track:6cQ08IpBxxfGcSKxqE3NmB,https://api.spotify.com/v1/tracks/6cQ08IpBxxfGcSKxqE3NmB,https://api.spotify.com/v1/audio-analysis/6cQ08IpBxxfGcSKxqE3NmB,144349,4
0.796,0.585,2,-6.081,1,0.246,0.00719,0.0,0.115,0.294,149.899,audio_features,16V6uuOaLE4OKBBx2LHZbG,spotify:track:16V6uuOaLE4OKBBx2LHZbG,https://api.spotify.com/v1/tracks/16V6uuOaLE4OKBBx2LHZbG,https://api.spotify.com/v1/audio-analysis/16V6uuOaLE4OKBBx2LHZbG,172780,4
0.953,0.621,8,-7.638,0,0.221,0.017,0.0,0.0398,0.883,123.016,audio_features,6755DFiZ7CWe2WMdTGW5C1,spotify:track:6755DFiZ7CWe2WMdTGW5C1,https://api.spotify.com/v1/tracks/6755DFiZ7CWe2WMdTGW5C1,https://api.spotify.com/v1/audio-analysis/6755DFiZ7CWe2WMdTGW5C1,152333,4
0.925,0.463,6,-9.309,0,0.454,0.0681,0.0,0.101,0.961,133.061,audio_features,2Ox2c1WEJDeQCHTXPE3YKM,spotify:track:2Ox2c1WEJDeQCHTXPE3YKM,https://api.spotify.com/v1/tracks/2Ox2c1WEJDeQCHTXPE3YKM,https://api.spotify.com/v1/audio-analysis/2Ox2c1WEJDeQCHTXPE3YKM,122729,4
0.853,0.426,1,-6.812,1,0.374,0.0765,0.0,0.104,0.201,160.051,audio_features,6toQdWWc4noiOk3Eo5mVDS,spotify:track:6toQdWWc4noiOk3Eo5mVDS,https://api.spotify.com/v1/tracks/6toQdWWc4noiOk3Eo5mVDS,https://api.spotify.com/v1/audio-analysis/6toQdWWc4noiOk3Eo5mVDS,200424,4
0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,audio_features,4Iedi94TIaB2GGb1nMB68v,spotify:track:4Iedi94TIaB2GGb1nMB68v,https://api.spotify.com/v1/tracks/4Iedi94TIaB2GGb1nMB68v,https://api.spotify.com/v1/audio-analysis/4Iedi94TIaB2GGb1nMB68v,135960,4
0.709,0.748,6,-5.431,0,0.0769,0.215,0.000272,0.095,0.651,141.894,audio_features,6STioLUbiT8SvFuL3ozx8x,spotify:track:6STioLUbiT8SvFuL3ozx8x,https://api.spotify.com/v1/tracks/6STioLUbiT8SvFuL3ozx8x,https://api.spotify.com/v1/audio-analysis/6STioLUbiT8SvFuL3ozx8x,162387,4
0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895,audio_features,3aQem4jVGdhtg116TmJnHz,spotify:track:3aQem4jVGdhtg116TmJnHz,https://api.spotify.com/v1/tracks/3aQem4jVGdhtg116TmJnHz,https://api.spotify.com/v1/audio-analysis/3aQem4jVGdhtg116TmJnHz,178154,4
0.893,0.537,7,-6.822,0,0.364,0.211,0.0,0.0599,0.588,140.038,audio_features,3tHm0NnzLiQsaMUkJNcAij,spotify:track:3tHm0NnzLiQsaMUkJNcAij,https://api.spotify.com/v1/tracks/3tHm0NnzLiQsaMUkJNcAij,https://api.spotify.com/v1/audio-analysis/3tHm0NnzLiQsaMUkJNcAij,178562,4
0.909,0.617,1,-7.736,1,0.401,0.044,0.0,0.233,0.301,136.924,audio_features,2bo0HCDcZj8BYjoht9zYgk,spotify:track:2bo0HCDcZj8BYjoht9zYgk,https://api.spotify.com/v1/tracks/2bo0HCDcZj8BYjoht9zYgk,https://api.spotify.com/v1/audio-analysis/2bo0HCDcZj8BYjoht9zYgk,136939,4
